x,rho,u,p
0.00125000,0.78957037,-0.27337870,0.71803540
0.00375000,0.79118506,-0.27083624,0.72030405
0.00625000,0.79272203,-0.26850680,0.72238772
0.00875000,0.79431202,-0.26615574,0.72449586
0.01125000,0.79593852,-0.26378799,0.72662421
0.01375000,0.79759140,-0.26140667,0.72877012
0.01625000,0.79926477,-0.25901309,0.73093251
0.01875000,0.80095479,-0.25660839,0.73311047
0.02125000,0.80265896,-0.25419332,0.73530340
0.02375000,0.80437571,-0.25176835,0.73751095
0.02625000,0.80610403,-0.24933378,0.73973297
0.02875000,0.80784329,-0.24688975,0.74196938
0.03125000,0.80959311,-0.24443633,0.74422022
0.03375000,0.81135325,-0.24197354,0.74648553
0.03625000,0.81312356,-0.23950140,0.74876539
0.03875000,0.81490397,-0.23701990,0.75105989
0.04125000,0.81669442,-0.23452904,0.75336910
0.04375000,0.81849491,-0.23202880,0.75569313
0.04625000,0.82030545,-0.22951918,0.75803206
0.04875000,0.82212605,-0.22700017,0.76038599
0.05125000,0.82395674,-0.22447175,0.76275501
0.05375000,0.82579755,-0.22193391,0.76513921
0.05625000,0.82764853,-0.21938665,0.76753870
0.05875000,0.82950971,-0.21682995,0.76995356
0.06125000,0.83138115,-0.21426380,0.77238390
0.06375000,0.83326289,-0.21168819,0.77482982
0.06625000,0.83515498,-0.20910310,0.77729142
0.06875000,0.83705748,-0.20650851,0.77976880
0.07125000,0.83897044,-0.20390442,0.78226206
0.07375000,0.84089390,-0.20129080,0.78477132
0.07625000,0.84282794,-0.19866764,0.78729669
0.07875000,0.84477261,-0.19603491,0.78983826
0.08125000,0.84672798,-0.19339259,0.79239617
0.08375000,0.84869409,-0.19074066,0.79497052
0.08625000,0.85067103,-0.18807909,0.79756145
0.08875000,0.85265886,-0.18540784,0.80016907
0.09125000,0.85465764,-0.18272689,0.80279352
0.09375000,0.85666747,-0.18003619,0.80543492
0.09625000,0.85868840,-0.17733570,0.80809343
0.09875000,0.86072053,-0.17462538,0.81076919
0.10125000,0.86276395,-0.17190517,0.81346235
0.10375000,0.86481875,-0.16917500,0.81617307
0.10625000,0.86688502,-0.16643482,0.81890152
0.10875000,0.86896288,-0.16368455,0.82164789
0.11125000,0.87105243,-0.16092411,0.82441235
0.11375000,0.87315380,-0.15815340,0.82719512
0.11625000,0.87526712,-0.15537231,0.82999640
0.11875000,0.87739252,-0.15258073,0.83281643
0.12125000,0.87953017,-0.14977853,0.83565544
0.12375000,0.88168021,-0.14696557,0.83851371
0.12625000,0.88384284,-0.14414167,0.84139150
0.12875000,0.88601825,-0.14130666,0.84428912
0.13125000,0.88820663,-0.13846034,0.84720689
0.13375000,0.89040822,-0.13560248,0.85014516
0.13625000,0.89262324,-0.13273284,0.85310428
0.13875000,0.89485196,-0.12985115,0.85608466
0.14125000,0.89709464,-0.12695711,0.85908668
0.14375000,0.89935156,-0.12405041,0.86211078
0.14625000,0.90162299,-0.12113071,0.86515738
0.14875000,0.90390922,-0.11819765,0.86822691
0.15125000,0.90621051,-0.11525086,0.87131980
0.15375000,0.90852711,-0.11228994,0.87443640
0.15625000,0.91085921,-0.10931450,0.87757706
0.15875000,0.91320693,-0.10632415,0.88074199
0.16125000,0.91557031,-0.10331851,0.88393129
0.16375000,0.91794922,-0.10029722,0.88714487
0.16625000,0.92034339,-0.09725993,0.89038239
0.16875000,0.92275228,-0.09420634,0.89364320
0.17125000,0.92517506,-0.09113620,0.89692623
0.17375000,0.92761054,-0.08804927,0.90022991
0.17625000,0.93005706,-0.08494537,0.90355204
0.17875000,0.93251243,-0.08182431,0.90688967
0.18125000,0.93497381,-0.07868592,0.91023897
0.18375000,0.93743759,-0.07552997,0.91359505
0.18625000,0.93989933,-0.07235616,0.91695184
0.18875000,0.94235357,-0.06916403,0.92030188
0.19125000,0.94479380,-0.06595290,0.92363621
0.19375000,0.94721227,-0.06272182,0.92694417
0.19625000,0.94959994,-0.05946940,0.93021330
0.19875000,0.95194642,-0.05619384,0.93342919
0.20125000,0.95423986,-0.05289272,0.93657541
0.20375000,0.95646697,-0.04956301,0.93963349
0.20625000,0.95861303,-0.04620095,0.94258292
0.20875000,0.96066193,-0.04280204,0.94540123
0.21125000,0.96259631,-0.03936098,0.94806419
0.21375000,0.96439773,-0.03587175,0.95054598
0.21625000,0.96604686,-0.03232759,0.95281956
0.21875000,0.96752382,-0.02872110,0.95485703
0.22125000,0.96880842,-0.02504439,0.95663014
0.22375000,0.96988062,-0.02128913,0.95811078
0.22625000,0.97072087,-0.01744681,0.95927154
0.22875000,0.97131049,-0.01350881,0.96008636
0.23125000,0.97163217,-0.00946662,0.96053103
0.23375000,0.97167024,-0.00531199,0.96058382
0.23625000,0.97141110,-0.00103705,0.96022594
0.23875000,0.97084349,0.00336555,0.95944200
0.24125000,0.96995870,0.00790259,0.95822030
0.24375000,0.96875074,0.01258014,0.95655312
0.24625000,0.96721645,0.01740359,0.95443680
0.24875000,0.96535546,0.02237762,0.95187171
0.25125000,0.96317011,0.02750618,0.94886219
0.25375000,0.96066535,0.03279252,0.94541628
0.25625000,0.95784850,0.03823924,0.94154544
0.25875000,0.95472899,0.04384825,0.93726418
0.26125000,0.95131809,0.04962088,0.93258958
0.26375000,0.94762857,0.05555784,0.92754088
0.26625000,0.94367442,0.06165929,0.92213897
0.26875000,0.93947049,0.06792482,0.91640594
0.27125000,0.93503219,0.07435350,0.91036464
0.27375000,0.93037523,0.08094387,0.90403823
0.27625000,0.92551536,0.08769396,0.89744985
0.27875000,0.92046813,0.09460134,0.89062231
0.28125000,0.91524872,0.10166313,0.88357778
0.28375000,0.90987181,0.10887600,0.87633764
0.28625000,0.90435143,0.11623627,0.86892226
0.28875000,0.89870091,0.12373990,0.86135097
0.29125000,0.89293284,0.13138256,0.85364190
0.29375000,0.88705899,0.13915968,0.84581204
0.29625000,0.88109037,0.14706650,0.83787716
0.29875000,0.87503721,0.15509811,0.82985191
0.30125000,0.86890897,0.16324953,0.82174978
0.30375000,0.86271441,0.17151573,0.81358322
0.30625000,0.85646162,0.17989168,0.80536368
0.30875000,0.85015804,0.18837240,0.79710164
0.31125000,0.84381052,0.19695299,0.78880674
0.31375000,0.83742539,0.20562866,0.78048781
0.31625000,0.83100846,0.21439477,0.77215293
0.31875000,0.82456508,0.22324680,0.76380951
0.32125000,0.81810021,0.23218042,0.75546435
0.32375000,0.81161840,0.24119147,0.74712367
0.32625000,0.80512384,0.25027599,0.73879318
0.32875000,0.79862044,0.25943019,0.73047811
0.33125000,0.79211178,0.26865047,0.72218326
0.33375000,0.78560118,0.27793343,0.71391304
0.33625000,0.77909174,0.28727582,0.70567148
0.33875000,0.77258630,0.29667460,0.69746230
0.34125000,0.76608750,0.30612688,0.68928890
0.34375000,0.75959782,0.31562994,0.68115438
0.34625000,0.75311951,0.32518121,0.67306162
0.34875000,0.74665470,0.33477826,0.66501323
0.35125000,0.74020536,0.34441882,0.65701161
0.35375000,0.73377330,0.35410072,0.64905895
0.35625000,0.72736024,0.36382194,0.64115725
0.35875000,0.72096774,0.37358055,0.63330834
0.36125000,0.71459728,0.38337474,0.62551390
0.36375000,0.70825022,0.39320280,0.61777543
0.36625000,0.70192782,0.40306310,0.61009433
0.36875000,0.69563128,0.41295412,0.60247183
0.37125000,0.68936169,0.42287439,0.59490907
0.37375000,0.68312008,0.43282254,0.58740708
0.37625000,0.67690739,0.44279725,0.57996677
0.37875000,0.67072453,0.45279727,0.57258898
0.38125000,0.66457231,0.46282140,0.56527443
0.38375000,0.65845151,0.47286851,0.55802379
0.38625000,0.65236285,0.48293750,0.55083765
0.38875000,0.64630701,0.49302732,0.54371652
0.39125000,0.64028460,0.50313697,0.53666085
0.39375000,0.63429623,0.51326546,0.52967104
0.39625000,0.62834244,0.52341185,0.52274742
0.39875000,0.62242376,0.53357522,0.51589031
0.40125000,0.61654066,0.54375467,0.50909994
0.40375000,0.61069362,0.55394933,0.50237652
0.40625000,0.60488306,0.56415832,0.49572023
0.40875000,0.59910941,0.57438078,0.48913121
0.41125000,0.59337306,0.58461587,0.48260957
0.41375000,0.58767440,0.59486273,0.47615541
0.41625000,0.58201379,0.60512050,0.46976879
0.41875000,0.57639161,0.61538829,0.46344978
0.42125000,0.57080820,0.62566522,0.45719842
0.42375000,0.56526392,0.63595036,0.45101473
0.42625000,0.55975915,0.64624275,0.44489876
0.42875000,0.55429424,0.65654137,0.43885055
0.43125000,0.54886958,0.66684518,0.43287014
0.43375000,0.54348558,0.67715301,0.42695759
0.43625000,0.53814267,0.68746365,0.42111300
0.43875000,0.53284132,0.69777574,0.41533648
0.44125000,0.52758204,0.70808781,0.40962819
0.44375000,0.52236543,0.71839821,0.40398837
0.44625000,0.51719212,0.72870509,0.39841730
0.44875000,0.51206289,0.73900633,0.39291537
0.45125000,0.50697860,0.74929950,0.38748311
0.45375000,0.50194030,0.75958179,0.38212116
0.45625000,0.49694923,0.76984984,0.37683039
0.45875000,0.49200687,0.78009971,0.37161192
0.46125000,0.48711506,0.79032659,0.36646718
0.46375000,0.48227606,0.80052461,0.36139804
0.46625000,0.47749272,0.81068650,0.35640693
0.46875000,0.47276865,0.82080309,0.35149705
0.47125000,0.46810852,0.83086265,0.34667261
0.47375000,0.46351844,0.84084991,0.34193927
0.47625000,0.45900656,0.85074468,0.33730467
0.47875000,0.45458391,0.86051972,0.33277929
0.48125000,0.45026574,0.87013759,0.32837773
0.48375000,0.44607343,0.87954585,0.32412063
0.48625000,0.44203751,0.88866980,0.32003761
0.48875000,0.43820211,0.89740163,0.31617158
0.49125000,0.43463109,0.90558521,0.31258486
0.49375000,0.43141548,0.91299793,0.30936630
0.49625000,0.42867784,0.91933935,0.30663562
0.49875000,0.42656127,0.92425714,0.30453235
0.50125000,0.42517864,0.92746850,0.30316570
0.50375000,0.42451212,0.92900159,0.30251526
0.50625000,0.42434465,0.92936059,0.30236329
0.50875000,0.42437439,0.92925451,0.30240849
0.51125000,0.42442424,0.92910008,0.30247419
0.51375000,0.42446121,0.92897487,0.30252751
0.51625000,0.42448871,0.92887081,0.30257187
0.51875000,0.42450980,0.92878068,0.30261033
0.52125000,0.42452626,0.92870021,0.30264470
0.52375000,0.42453910,0.92862696,0.30267602
0.52625000,0.42454892,0.92855944,0.30270491
0.52875000,0.42455610,0.92849673,0.30273176
0.53125000,0.42456085,0.92843821,0.30275684
0.53375000,0.42456333,0.92838347,0.30278032
0.53625000,0.42456363,0.92833217,0.30280235
0.53875000,0.42456182,0.92828408,0.30282302
0.54125000,0.42455796,0.92823897,0.30284242
0.54375000,0.42455206,0.92819667,0.30286064
0.54625000,0.42454415,0.92815702,0.30287775
0.54875000,0.42453425,0.92811985,0.30289380
0.55125000,0.42452235,0.92808502,0.30290886
0.55375000,0.42450845,0.92805239,0.30292299
0.55625000,0.42449252,0.92802184,0.30293625
0.55875000,0.42447456,0.92799324,0.30294868
0.56125000,0.42445451,0.92796646,0.30296034
0.56375000,0.42443234,0.92794141,0.30297128
0.56625000,0.42440797,0.92791796,0.30298154
0.56875000,0.42438133,0.92789602,0.30299116
0.57125000,0.42435233,0.92787550,0.30300019
0.57375000,0.42432084,0.92785629,0.30300866
0.57625000,0.42428673,0.92783832,0.30301662
0.57875000,0.42424984,0.92782151,0.30302408
0.58125000,0.42420995,0.92780577,0.30303110
0.58375000,0.42416682,0.92779104,0.30303769
0.58625000,0.42412016,0.92777726,0.30304389
0.58875000,0.42406960,0.92776435,0.30304973
0.59125000,0.42401469,0.92775227,0.30305521
0.59375000,0.42395488,0.92774095,0.30306038
0.59625000,0.42388946,0.92773035,0.30306525
0.59875000,0.42381753,0.92772043,0.30306985
0.60125000,0.42373792,0.92771112,0.30307418
0.60375000,0.42364911,0.92770241,0.30307827
0.60625000,0.42354913,0.92769424,0.30308213
0.60875000,0.42343537,0.92768659,0.30308579
0.61125000,0.42330441,0.92767942,0.30308925
0.61375000,0.42315176,0.92767269,0.30309252
0.61625000,0.42297159,0.92766639,0.30309563
0.61875000,0.42275638,0.92766048,0.30309857
0.62125000,0.42249652,0.92765495,0.30310137
0.62375000,0.42217992,0.92764976,0.30310402
0.62625000,0.42179160,0.92764489,0.30310655
0.62875000,0.42131326,0.92764034,0.30310895
0.63125000,0.42072305,0.92763607,0.30311124
0.63375000,0.41999535,0.92763207,0.30311342
0.63625000,0.41910083,0.92762833,0.30311550
0.63875000,0.41800673,0.92762484,0.30311749
0.64125000,0.41667750,0.92762156,0.30311938
0.64375000,0.41507575,0.92761851,0.30312119
0.64625000,0.41316362,0.92761565,0.30312293
0.64875000,0.41090441,0.92761299,0.30312458
0.65125000,0.40826461,0.92761050,0.30312617
0.65375000,0.40521596,0.92760819,0.30312768
0.65625000,0.40173760,0.92760604,0.30312914
0.65875000,0.39781805,0.92760404,0.30313053
0.66125000,0.39345679,0.92760219,0.30313186
0.66375000,0.38866541,0.92760047,0.30313313
0.66625000,0.38346806,0.92759888,0.30313435
0.66875000,0.37790119,0.92759741,0.30313552
0.67125000,0.37201265,0.92759605,0.30313664
0.67375000,0.36586003,0.92759481,0.30313771
0.67625000,0.35950855,0.92759367,0.30313874
0.67875000,0.35302859,0.92759263,0.30313973
0.68125000,0.34649302,0.92759168,0.30314067
0.68375000,0.33997450,0.92759082,0.30314159
0.68625000,0.33354308,0.92759005,0.30314246
0.68875000,0.32726399,0.92758935,0.30314331
0.69125000,0.32119593,0.92758874,0.30314413
0.69375000,0.31538972,0.92758820,0.30314492
0.69625000,0.30988748,0.92758773,0.30314569
0.69875000,0.30472223,0.92758734,0.30314643
0.70125000,0.29991789,0.92758701,0.30314716
0.70375000,0.29548955,0.92758675,0.30314787
0.70625000,0.29144407,0.92758656,0.30314857
0.70875000,0.28778088,0.92758643,0.30314925
0.71125000,0.28449283,0.92758636,0.30314992
0.71375000,0.28156721,0.92758637,0.30315059
0.71625000,0.27898677,0.92758643,0.30315124
0.71875000,0.27673068,0.92758656,0.30315190
0.72125000,0.27477555,0.92758677,0.30315255
0.72375000,0.27309631,0.92758704,0.30315320
0.72625000,0.27166701,0.92758739,0.30315384
0.72875000,0.27046159,0.92758784,0.30315448
0.73125000,0.26945443,0.92758839,0.30315512
0.73375000,0.26862092,0.92758908,0.30315574
0.73625000,0.26793785,0.92758997,0.30315633
0.73875000,0.26738367,0.92759113,0.30315686
0.74125000,0.26693869,0.92759270,0.30315730
0.74375000,0.26658520,0.92759490,0.30315757
0.74625000,0.26630749,0.92759807,0.30315756
0.74875000,0.26609178,0.92760273,0.30315711
0.75125000,0.26592612,0.92760965,0.30315595
0.75375000,0.26580026,0.92761999,0.30315371
0.75625000,0.26570543,0.92763538,0.30314984
0.75875000,0.26563418,0.92765815,0.30314356
0.76125000,0.26558016,0.92769150,0.30313381
0.76375000,0.26553784,0.92773972,0.30311916
0.76625000,0.26550238,0.92780844,0.30309772
0.76875000,0.26546938,0.92790485,0.30306708
0.77125000,0.26543473,0.92803790,0.30302425
0.77375000,0.26539442,0.92821845,0.30296560
0.77625000,0.26534447,0.92845924,0.30288686
0.77875000,0.26528089,0.92877480,0.30278317
0.78125000,0.26519957,0.92918119,0.30264916
0.78375000,0.26509643,0.92969552,0.30247909
0.78625000,0.26496740,0.93033535,0.30226710
0.78875000,0.26480859,0.93111796,0.30200738
0.79125000,0.26461639,0.93205948,0.30169450
0.79375000,0.26438765,0.93317403,0.30132363
0.79625000,0.26411973,0.93447289,0.30089076
0.79875000,0.26381066,0.93596372,0.30039290
0.80125000,0.26345910,0.93764984,0.29982810
0.80375000,0.26306439,0.93952962,0.29919547
0.80625000,0.26262631,0.94159581,0.29849494
0.80875000,0.26214494,0.94383483,0.29772688
0.81125000,0.26162017,0.94622555,0.29689154
0.81375000,0.26105114,0.94873746,0.29598805
0.81625000,0.26043534,0.95132753,0.29501305
0.81875000,0.25976726,0.95393500,0.29395858
0.82125000,0.25903639,0.95647280,0.29280896
0.82375000,0.25822422,0.95881368,0.29153601
0.82625000,0.25729965,0.96076809,0.29009190
0.82875000,0.25621210,0.96204951,0.28839829
0.83125000,0.25488121,0.96222090,0.28633031
0.83375000,0.25318188,0.96061080,0.28369343
0.83625000,0.25092259,0.95619280,0.28019029
0.83875000,0.24781701,0.94741187,0.27537849
0.84125000,0.24345353,0.93194756,0.26862760
0.84375000,0.23727390,0.90644698,0.25909626
0.84625000,0.22859597,0.86633274,0.24578813
0.84875000,0.21674557,0.80599591,0.22779155
0.85125000,0.20138161,0.72003208,0.20482166
0.85375000,0.18302091,0.60646394,0.17801720
0.85625000,0.16348551,0.47209384,0.15045296
0.85875000,0.14564173,0.33635767,0.12638318
0.86125000,0.13205666,0.22508839,0.10900789
0.86375000,0.12349299,0.15313712,0.09863415
0.86625000,0.11887753,0.11585964,0.09329554
0.86875000,0.11659763,0.09982452,0.09074254
0.87125000,0.11546694,0.09426453,0.08950049
0.87375000,0.11484648,0.09332169,0.08882569
0.87625000,0.11444164,0.09431049,0.08838745
0.87875000,0.11412620,0.09608697,0.08804674
0.88125000,0.11384794,0.09817860,0.08774659
0.88375000,0.11358557,0.10039294,0.08746388
0.88625000,0.11333044,0.10265202,0.08718922
0.88875000,0.11307903,0.10492433,0.08691880
0.89125000,0.11282990,0.10719723,0.08665109
0.89375000,0.11258247,0.10946567,0.08638542
0.89625000,0.11233648,0.11172769,0.08612154
0.89875000,0.11209182,0.11398254,0.08585931
0.90125000,0.11184844,0.11623000,0.08559868
0.90375000,0.11160631,0.11847001,0.08533961
0.90625000,0.11136541,0.12070260,0.08508208
0.90875000,0.11112572,0.12292781,0.08482607
0.91125000,0.11088723,0.12514570,0.08457156
0.91375000,0.11064993,0.12735632,0.08431853
0.91625000,0.11041382,0.12955971,0.08406698
0.91875000,0.11017887,0.13175593,0.08381689
0.92125000,0.10994509,0.13394499,0.08356825
0.92375000,0.10971246,0.13612695,0.08332104
0.92625000,0.10948098,0.13830182,0.08307527
0.92875000,0.10925064,0.14046964,0.08283091
0.93125000,0.10902143,0.14263042,0.08258795
0.93375000,0.10879336,0.14478418,0.08234640
0.93625000,0.10856640,0.14693095,0.08210623
0.93875000,0.10834056,0.14907074,0.08186744
0.94125000,0.10811583,0.15120356,0.08163002
0.94375000,0.10789220,0.15332943,0.08139396
0.94625000,0.10766967,0.15544837,0.08115926
0.94875000,0.10744825,0.15756037,0.08092590
0.95125000,0.10722791,0.15966545,0.08069388
0.95375000,0.10700867,0.16176362,0.08046319
0.95625000,0.10679051,0.16385490,0.08023382
0.95875000,0.10657344,0.16593928,0.08000576
0.96125000,0.10635747,0.16801678,0.07977901
0.96375000,0.10614259,0.17008740,0.07955357
0.96625000,0.10592881,0.17215115,0.07932941
0.96875000,0.10571616,0.17420803,0.07910653
0.97125000,0.10550464,0.17625804,0.07888494
0.97375000,0.10529430,0.17830116,0.07866462
0.97625000,0.10508519,0.18033734,0.07844557
0.97875000,0.10487739,0.18236647,0.07822781
0.98125000,0.10467102,0.18438834,0.07801133
0.98375000,0.10446627,0.18640258,0.07779618
0.98625000,0.10426340,0.18840856,0.07758242
0.98875000,0.10406282,0.19040535,0.07737013
0.99125000,0.10386512,0.19239176,0.07715944
0.99375000,0.10367124,0.19436525,0.07695059
0.99625000,0.10348266,0.19632156,0.07674403
0.99875000,0.10328283,0.19844927,0.07651989
